2025-08-21 15:25:10,103-DEBUG-root-25612::psutil_info::system_info|6:: MEMORY USAGE: 92.2%
2025-08-21 15:25:10,105-DEBUG-root-25612::psutil_info::system_info|7:: MEMORY AVAILABLE: 7.77%
2025-08-21 15:25:10,361-DEBUG-root-25612::webapp_internal::wait_element_timeout|7749:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:10,605-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:10,746-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:25:10,746-DEBUG-root-25612::webapp_internal::send_action|10476:: Trying to send action
2025-08-21 15:25:10,751-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:25:11,821-DEBUG-root-25612::webapp_internal::send_action|10517:: send_action method result = True
2025-08-21 15:25:11,822-DEBUG-root-25612::webapp_internal::send_action|10518:: send_action selenium status: False
2025-08-21 15:25:11,822-DEBUG-root-25612::webapp_internal::SetButton|4637:: ***System Info*** After Clicking on button:
2025-08-21 15:25:11,822-DEBUG-root-25612::psutil_info::system_info|5:: CPU USAGE: 58.2%
2025-08-21 15:25:11,823-DEBUG-root-25612::psutil_info::system_info|6:: MEMORY USAGE: 91.9%
2025-08-21 15:25:11,824-DEBUG-root-25612::psutil_info::system_info|7:: MEMORY AVAILABLE: 8.14%
2025-08-21 15:25:11,824-DEBUG-root-25612::webapp_internal::wait_element|7646:: Waiting for element
2025-08-21 15:25:11,967-INFO-root-25612::webapp_internal::set_program|1750:: Setting program: MATA010
2025-08-21 15:25:11,987-DEBUG-root-25612::webapp_internal::wait_element|7646:: Waiting for element
2025-08-21 15:25:12,046-DEBUG-root-25612::webapp_internal::wait_element|7676:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:12,260-DEBUG-root-25612::base::double_click|256:: Click Type: ClickType.SELENIUM
2025-08-21 15:25:12,764-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value: MATA010
2025-08-21 15:25:12,825-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:12,954-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:25:12,954-DEBUG-root-25612::webapp_internal::send_action|10476:: Trying to send action
2025-08-21 15:25:12,964-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:25:14,022-DEBUG-root-25612::webapp_internal::send_action|10517:: send_action method result = True
2025-08-21 15:25:14,022-DEBUG-root-25612::webapp_internal::send_action|10518:: send_action selenium status: False
2025-08-21 15:25:14,023-DEBUG-root-25612::webapp_internal::wait_element_is_not_displayed|7580:: Waiting for element to disappear
2025-08-21 15:25:14,039-DEBUG-root-25612::webapp_internal::close_news_screen|1509:: Closing news screen!
2025-08-21 15:25:14,062-INFO-root-25612::webapp_internal::SetButton|4398:: Clicking on Incluir
2025-08-21 15:25:14,062-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
